0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20168,,,,,,,,,,,,,,,,,,,,,,0.57292,,,,,,,,,,0.68771,0.69595,0.7101,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20249,,,,,,,,,,,,,,,,,,,,,,0.57343,,,,,,,,,0.68326,0.68824,0.69663,0.71079,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20352,,,,,,,,,,,,,,,,,,,,,,0.57407,,,,,,,0.66481,,0.68366,0.68889,0.69747,0.71164,,0.73556,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20479,,,,,,,,,,,,,,,,,,,,,,0.57484,,,0.61441,,,,0.6652,,0.68415,0.68966,0.69847,0.71266,,0.73589,0.74604,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17961,,0.20632,,,,,,,,,,,,,,,,,,,,,,0.57574,,,0.61467,,,,0.66566,,0.68471,0.69056,0.69964,0.71384,,0.73627,0.74625,0.76167,0.76673
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17986,,0.20816,,,,,,,,,,,,,,,,,,,,,,0.57678,,,0.61496,,,,0.66619,,0.68536,0.69158,0.70097,0.71518,0.72643,0.73671,0.74649,0.76187,0.76696
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18015,,0.21034,,,,,,,,,,,,,,,,,,,,,,0.57799,,,0.6153,,,,0.66678,,0.68609,0.69275,0.70248,0.7167,0.7266,0.7372,0.74676,0.7621,0.76721
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1805,0.18344,0.21291,,,,,,,,,,,,,,,,,,,,,,0.57935,,,0.61569,,,,0.66745,,0.68691,0.69405,0.70417,0.7184,0.72678,0.73774,0.74707,0.76234,0.76749
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14013,,,,,0.18091,0.18361,0.21592,,,,,,,,,,,,,,,,,,,,,,0.5809,,,0.61612,,,0.64921,0.6682,,0.68782,0.6955,0.70604,0.72028,0.72699,0.73835,0.7474,0.76261,0.76779
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1403,0.14685,,,,0.18139,0.1838,0.21945,,,,,,,,,,,,,,,,,,,,,,0.58263,,,0.6166,,,0.64934,0.66903,,0.68882,0.6971,0.70811,0.72234,0.72722,0.73901,0.74776,0.76291,0.76813
