0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73718,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24084,,,,,,,,,,,,,,,,,,,,,,,,,0.73839,,0.76791
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16951,,0.20085,,,0.24162,,,,,,,,,,,,,,,,,,,,,,,,,0.73994,,0.76869
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16991,0.17294,0.20129,,,0.24261,,,,,,,,,,,,,,,,,,,,,,,,,0.74185,,0.76965
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17041,0.17328,0.20182,,,0.24383,,,,,,,,,,,,,,,,,,,,,,,0.70454,0.70681,0.74412,,0.77078
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17101,0.17368,0.20248,,,0.2453,,,,,,,,,,,,,,,,,,,,,,,0.70478,0.70708,0.74675,,0.77209
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17171,0.17414,0.20323,,,0.24699,,,,,,,,,,,,,,,,,,,,,,,0.70503,0.70738,0.74963,,0.77353
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17244,0.17464,0.20402,,,0.24877,,,,,,,,,,,,,,,,,,,,,,,0.70529,0.70768,0.75246,,0.77492
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17324,0.17517,0.20488,,,0.25069,,,,,,,,,,,,,,,,,,,,,,,0.70554,0.70798,0.75524,,0.77628
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17411,0.17575,0.2058,,,0.25274,,,,,,,,,,,,,,,,,,,,,,,0.70578,0.70827,0.75788,0.74138,0.77756
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17503,0.17636,0.20678,,,0.25489,,,,,,,,,,,,,,,,,,,,,,,0.706,0.70853,0.76028,0.74145,0.77871
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,0.17701,0.2078,,,0.25713,,,,,,,,,,,,,,,,,,,,,,,0.7062,0.70876,0.76238,0.74151,0.77969
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17701,0.17769,0.20887,,,0.25943,,,,,,,,,,,,,,,,,,,,,,,0.70637,0.70896,0.76409,0.74155,0.78047
