0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32948,0.33018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26175,0.28167,,0.28771,0.30639,,0.33004,0.33071,0.33263,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24004,,0.26217,0.28228,,0.28809,0.30685,,0.33075,0.33139,0.33316,0.33613,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24043,,0.26268,0.28304,,0.28855,0.30742,,0.33162,0.33221,0.3338,0.33655,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24092,,0.2633,0.28395,,0.2891,0.30811,,0.33267,0.3332,0.33457,0.33706,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24149,,0.26404,0.28504,,0.28976,0.30893,,0.33391,0.33438,0.33548,0.33767,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24217,,0.26492,0.28633,,0.29055,0.30989,,0.33538,0.33577,0.33656,0.33838,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22485,,0.24298,,0.26595,0.28784,,0.29146,0.31102,,0.33709,0.33739,0.33781,0.33922,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,0.24392,,0.26716,0.28961,,0.29254,0.31234,,0.33909,0.33928,0.33928,0.34019,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22517,,0.24498,,0.26852,0.29158,,0.29373,0.31381,,0.3413,0.34138,0.3409,0.34126,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22534,,0.24606,,0.26989,0.29358,,0.29494,0.3153,,0.34353,0.34349,0.34254,0.34234,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22553,,0.2472,,0.27133,0.29567,,0.29621,0.31684,,0.34583,0.34567,0.34423,0.34346,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22572,,0.24838,,0.27282,0.29782,,0.29751,0.31841,,0.34818,0.34789,0.34595,0.3446
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22591,,0.24959,,0.27435,0.30001,,0.29882,0.32001,,0.35054,0.35012,0.34767,0.34573
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21455,0.22612,,0.25082,,0.27589,0.30221,,0.30015,0.3216,,0.35287,0.35233,0.34938,0.34686
9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21461,0.22632,,0.25206,,0.27743,0.3044,,0.30146,0.32317,,0.35516,0.35449,0.35105,0.34796
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20477,,0.21467,0.22653,,0.2533,,0.27896,0.30655,,0.30275,0.3247,,0.35736,0.35657,0.35266,0.34901
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20483,,0.21473,0.22673,,0.25453,,0.28045,0.30864,,0.304,0.32617,,0.35945,0.35854,0.35418,0.35001
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20488,,0.21479,0.22693,,0.25572,,0.2819,0.31064,,0.30519,0.32755,,0.36139,0.36038,0.3556,0.35094
11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20493,,0.21485,0.22712,,0.25689,,0.28329,0.31254,,0.30632,0.32884,,0.36317,0.36206,0.35689,0.35178
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20499,,0.21491,0.22731,,0.258,,0.2846,0.31431,,0.30736,0.33002,,0.36476,0.36356,0.35803,0.35253
12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20504,,0.21497,0.22749,,0.25905,,0.28582,0.31592,,0.30831,0.33107,,0.36613,0.36486,0.35902,0.35316
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20508,,0.21502,0.22766,,0.26003,,0.28693,0.31737,,0.30915,0.33198,,0.36727,0.36593,0.35984,0.35369
13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20513,,0.21507,0.22782,,0.26093,,0.28793,0.31863,,0.30987,0.33274,,0.36816,0.36676,0.36047,0.35409
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20517,,0.21512,0.22797,,0.26174,,0.2888,0.31968,,0.31047,0.33333,,0.36879,0.36735,0.3609,0.35436
14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20521,,0.21516,0.2281,,0.26245,,0.28953,0.32052,,0.31093,0.33375,,0.36915,0.36768,0.36114,0.35449
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20525,,0.2152,0.22821,,0.26306,,0.29012,0.32114,,0.31126,0.33399,,0.36923,0.36775,0.36117,0.35449
15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20528,,0.21523,0.22831,,0.26356,,0.29055,0.32153,,0.31144,0.33405,,0.36903,0.36755,0.361,0.35436
