0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32073,,,,,,,,,,,,,,,,,,,,,,,,0.70194,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32151,,,,,,,,,,,,,,,,,,,,,,,,0.7021,,,,,,,,,
2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32238,,,,,,,,,,,,,,,,,,,,,,,,0.70226,,,,,,,0.79797,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32335,,,,,,,,,,,,,,,,,,,,,,,,0.70245,,,,,,0.79117,0.79811,,
3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32441,,,,,,,,,,,,,,,,,,,,,,,,0.70265,,,,,,0.79128,0.79827,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2417,,,,,0.32556,,,,,,,,,,,,,,,,,,,,,,,,0.70287,,,,,,0.7914,0.79843,,
3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2418,,,,,0.32681,,,,,,,,,,,,,,,,,,,,,,,,0.7031,,,,,,0.79152,0.79861,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24191,,,,,0.32816,,,,,,,,,,,,,,,,,,,,,,,,0.70336,,,,,,0.79166,0.79881,,
4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24202,,,,,0.32962,,,,,,,,,,,,,,,,,,,,,,,,0.70363,,,,,,0.7918,0.79901,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24215,,,,,0.33118,,,,,,,,,,,,,,,,,,,,,,,,0.70391,,,,,,0.79195,0.79923,,
4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24228,,,,,0.33286,,,,,,,,,,,,,,,,,,,,,,,,0.70422,,,,,,0.79211,0.79946,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24242,,,,,0.33464,,,,,,,,,,,,,,,,,,,,,,,,0.70454,,,,,,0.79228,0.79971,0.8118,
5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24257,,,,,0.33651,,,,,,,,,,,,,,,,,,,,,,,,0.70491,,,,,,0.79248,0.79999,0.81187,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24271,,,,,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0.70531,,,,,,0.7927,0.8003,0.81194,0.82389
5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17902,,,,,0.24287,,,,,0.34038,,,,,,,,,,,,,,,,,,,,,,,,0.70572,,,,,,0.79292,0.80062,0.81202,0.82395
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17907,,,,,0.24302,,,,,0.34242,,,,,,,,,,,,,,,,,,,,,,,,0.70614,,,,,,0.79315,0.80095,0.81209,0.82402
6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17913,,,,,0.24319,,,,,0.34454,,,,,,,,,,,,,,,,,,,,,,,,0.70657,,,,,,0.79338,0.80128,0.81217,0.82408
