0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32625,,,,,,,,,,,,,,,,,,,,,,,0.71677,,,,,,,0.82213,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32701,,,,,,,,,,,,,,,,,,,,,,,0.71695,,,,,,,0.8223,
2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32786,,,,,,,,,,,,,,,,,,,,,,,0.71715,,,,,,,0.82249,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25961,,,,,,0.32879,,,,,,,,,,,,,,,,,,,,,,,0.71737,,,,,,,0.8227,
3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25973,,,,,,0.32982,,,,,,,,,,,,,,,,,,,,,,,0.7176,,,,,,,0.82292,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25986,,,,,,0.33094,,,,,,,,,,,,,,,,,,,,,,,0.71786,,,,,,,0.82317,
3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,0.33216,,,,,,,,,,,,,,,,,,,,,,,0.71814,,,,,,,0.82343,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26016,,,,,,0.33347,,,,,,,,,,,,,,,,,,,,,,,0.71844,,,,,0.7969,0.80777,0.82371,
4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19407,,,,,0.26032,,,,,,0.33488,,,,,,,,,,,,,,,,,,,,,,,0.71875,,,,,0.79698,0.80785,0.82401,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19415,,,,,0.2605,,,,,,0.3364,,,,,,,,,,,,,,,,,,,,,,,0.71909,,,,,0.79707,0.80793,0.82433,
4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19422,,,,,0.26069,,,,,,0.33802,,,,,,,,,,,,,,,,,,,,,,,0.71945,,,,,0.79715,0.80803,0.82467,0.82867
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19431,,,,,0.26089,,,,,,0.33976,,,,,,,,,,,,,,,,,,,,,,,0.71983,,,,,0.79725,0.80812,0.82502,0.82874
5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1944,,,,,0.2611,,,,,,0.34157,,,,,,,,,,,,,,,,,,,,,,,0.72026,,,,,0.79736,0.80824,0.82543,0.82882
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19448,,,,,0.26131,,,,,,0.34341,,,,,,,,,,,,,,,,,,,,,,,0.72073,,,,,0.79748,0.80836,0.82589,0.8289
5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19457,,,,,0.26153,,,,,,0.34533,,,,,,,,,,,,,,,,,,,,,,,0.72121,,,,,0.7976,0.80849,0.82636,0.82899
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19466,,,,,0.26176,,,,,,0.34732,,,,,,,,,,,,,,,,,,,,,,,0.72171,,,,,0.79772,0.80862,0.82684,0.82908
6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19476,,,,,0.26199,,,,,,0.34938,,,,,,,,,,,,,,,,,,,,,,,0.72222,,,,,0.79785,0.80875,0.82732,0.82917
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19486,,,,,0.26224,,,,,,0.3515,,,,,,,,,,,,,,,,,,,,,,,0.72273,,,,0.78898,0.79798,0.80889,0.82781,0.82926
6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19496,,,,,0.26249,,,,,,0.35368,,,,,,,,,,,,,,,,,,,,,,,0.72325,,,,0.78902,0.79811,0.80902,0.82829,0.82936
