0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71787,,,,,,,0.83164
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27965,,,,,,,,,,,,,,,,,,,,,,,,0.71845,,,,,,,0.83228
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20288,,,,,0.28017,,,,,,,,,,,,,,,,,,,,,,,,0.71916,,,,,,,0.83307
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20317,,,,,0.2808,,,,,,,,,,,,,,,,,,,,,,,,0.72001,,,,,,0.81678,0.83401
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2035,,,,,0.28153,,,,,,,,,,,,,,,,,,,,,,,,0.72099,,,,,,0.81704,0.83508
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20389,,,,,0.28239,,,,,,,,,,,,,,,,,,,,,,,,0.72211,,,,,0.80444,0.81735,0.83631
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20434,,,,,0.28337,,,,,,,,,,,,,,,,,,,,,,,,0.72338,,,,,0.80461,0.81769,0.83767
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20484,,,,,0.28448,,,,,,,,,,,,,,,,,,,,,,0.696,,0.72479,,,,,0.80479,0.81806,0.83918
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20542,,,,,0.28574,,,,,,,,,,,,,,,,,,,,,,0.69614,,0.72634,,,,,0.80498,0.81847,0.84084
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20607,,,,,0.28716,,,,,,,,,,,,,,,,,,,,,,0.69631,,0.72805,,,,,0.8052,0.81892,0.84264
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2068,,,,,0.28874,,,,,,,,,,,,,,,,,,,,,,0.69649,,0.72992,,,,,0.80543,0.81941,0.84459
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20762,,,,,0.29051,,,,,,,,,,,,,,,,,,,,,,0.69668,,0.73194,,,,,0.80568,0.81993,0.84668
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20853,,,,,0.29248,,,,,,,,,,,,,,,,,,,,,,0.69689,,0.73413,,,,,0.80595,0.82049,0.84892
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20955,,,,,0.29467,,,,,,,,,,,,,,,,,,,,,,0.69712,,0.7365,,,,0.79229,0.80624,0.82109,0.8513
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21068,,,,,0.2971,,,,,,,,,,,,,,,,,,,,,,0.69736,,0.73904,,,,0.79236,0.80655,0.82172,0.85383
