27.6,0.52,,,,,0.37983,0.41952,0.47326
27.8,0.52,,,,,0.37984,0.41953,0.47328
28,0.52,,,,,0.37985,0.41954,0.47329
28.2,0.52,,,,,0.37986,0.41956,0.47331
28.4,0.52,,,,,0.37987,0.41957,0.47333
28.6,0.52,,,,,0.37988,0.41958,0.47334
28.8,0.52,,,,,0.37988,0.4196,0.47336
29,0.52,,,,,0.37989,0.41961,0.47338
29.2,0.52,,,,,0.3799,0.41962,0.47339
29.4,0.52,,,,,0.37991,0.41964,0.47341
29.6,0.52,,,,,0.37992,0.41965,0.47343
29.8,0.52,,,,,0.37993,0.41967,0.47345
30,0.52,,,,,0.37994,0.41968,0.47346
30.2,0.52,,,,,0.37995,0.41969,0.47348
30.4,0.52,,,,,0.37996,0.41971,0.4735
30.6,0.52,,,,,0.37997,0.41972,0.47352
30.8,0.52,,,,,0.37998,0.41974,0.47354
31,0.52,,,,,0.37999,0.41975,0.47355
31.2,0.52,,,,,0.38,0.41977,0.47357
31.4,0.52,,,,,0.38002,0.41978,0.47359
31.6,0.52,,,,,0.38003,0.4198,0.47361
31.8,0.52,,,,,0.38004,0.41981,0.47363
32,0.52,,,,,0.38005,0.41983,0.47365
32.2,0.52,,,,,0.38006,0.41984,0.47366
32.4,0.52,,,,,0.38007,0.41986,0.47368
32.6,0.52,,,,,0.38008,0.41988,0.4737
32.8,0.52,,,,,0.38009,0.41989,0.47372
33,0.52,,,,,0.3801,0.41991,0.47374
33.2,0.52,,,,,0.38011,0.41992,0.47376
33.4,0.52,,,,,0.38013,0.41994,0.47378
33.6,0.52,,,,,0.38014,0.41996,0.4738
33.8,0.52,,,,,0.38015,0.41997,0.47381
34,0.52,,,,,0.38016,0.41999,0.47383
34.2,0.52,,,,,0.38017,0.42001,0.47385
34.4,0.52,,,,,0.38019,0.42002,0.47387
34.6,0.52,,,,,0.3802,0.42004,0.47389
34.8,0.52,,,,,0.38021,0.42006,0.47391
35,0.52,,,,,0.38022,0.42007,0.47393
35.2,0.52,,,,,0.38024,0.42009,0.47395
35.4,0.52,,,,,0.38025,0.42011,0.47397
35.6,0.52,,,,,0.38026,0.42013,0.47399
35.8,0.52,,,,,0.38027,0.42015,0.47401
36,0.52,,,,,0.38029,0.42016,0.47403
36.2,0.52,,,,,0.3803,0.42018,0.47405
36.4,0.52,,,,,0.38031,0.4202,0.47407
36.6,0.52,,,,,0.38033,0.42022,0.47409
36.8,0.52,,,,,0.38034,0.42024,0.47411
37,0.52,,,,,0.38036,0.42026,0.47413
37.2,0.52,,,,,0.38037,0.42027,0.47416
37.4,0.52,,,,,0.38038,0.42029,0.47418
37.6,0.52,,,,,0.3804,0.42031,0.4742
37.8,0.52,,,,,0.38041,0.42033,0.47422
38,0.52,,,,,0.38043,0.42035,0.47424
38.2,0.52,,,,,0.38044,0.42037,0.47426
38.4,0.52,,,,,0.38046,0.42039,0.47428
38.6,0.52,,,,,0.38047,0.42041,0.4743
38.8,0.52,,,,,0.38049,0.42043,0.47433
39,0.52,,,,,0.3805,0.42045,0.47435
39.2,0.52,,,,,0.38052,0.42047,0.47437
39.4,0.52,,,,,0.38053,0.42049,0.47439
39.6,0.52,,,,,0.38055,0.42051,0.47441
39.8,0.52,,,,,0.38056,0.42053,0.47444
40,0.52,,,,,0.38058,0.42056,0.47446
40.2,0.52,,,,,0.38059,0.42058,0.47448
40.4,0.52,,,,,0.38061,0.4206,0.4745
40.6,0.52,,,,,0.38063,0.42062,0.47453
40.8,0.52,,,,,0.38064,0.42064,0.47455
41,0.52,,,,,0.38066,0.42066,0.47457
41.2,0.52,,,,,0.38068,0.42069,0.4746
41.4,0.52,,,,,0.38069,0.42071,0.47462
41.6,0.52,,,,,0.38071,0.42073,0.47464
41.8,0.52,,,,,0.38073,0.42075,0.47467
42,0.52,,,,,0.38075,0.42078,0.47469
42.2,0.52,,,,,0.38076,0.4208,0.47471
42.4,0.52,,,,,0.38078,0.42082,0.47474
42.6,0.52,,,,,0.3808,0.42085,0.47476
42.8,0.52,,,,,0.38082,0.42087,0.47478
43,0.52,,,,,0.38084,0.42089,0.47481
43.2,0.52,,,,,0.38086,0.42092,0.47483
43.4,0.52,,,,,0.38087,0.42094,0.47486
43.6,0.52,,,,,0.38089,0.42097,0.47488
43.8,0.52,,,,,0.38091,0.42099,0.47491
44,0.52,,,,,0.38093,0.42102,0.47493
44.2,0.52,,,,,0.38095,0.42104,0.47496
44.4,0.52,,,,,0.38097,0.42107,0.47498
44.6,0.52,,,,,0.38099,0.42109,0.47501
44.8,0.52,,,,,0.38101,0.42112,0.47503
45,0.52,,,,,0.38103,0.42114,0.47506
45.2,0.52,,,,,0.38105,0.42117,0.47508
45.4,0.52,,,,,0.38107,0.4212,0.47511
45.6,0.52,,,,,0.38109,0.42122,0.47514
45.8,0.52,,,,,0.38111,0.42125,0.47516
46,0.52,,,,,0.38114,0.42128,0.47519
46.2,0.52,,,,,0.38116,0.42131,0.47521
46.4,0.52,,,,,0.38118,0.42133,0.47524
46.6,0.52,,,,,0.3812,0.42136,0.47527
46.8,0.52,,,,,0.38122,0.42139,0.47529
47,0.52,,,,,0.38125,0.42142,0.47532
47.2,0.52,,,,,0.38127,0.42145,0.47535
47.4,0.52,,,,,0.38129,0.42147,0.47538
47.6,0.52,,,,,0.38131,0.4215,0.4754
47.8,0.52,,,,,0.38134,0.42153,0.47543
48,0.52,,,,,0.38136,0.42156,0.47546
48.2,0.52,,,,,0.38138,0.42159,0.47549
48.4,0.52,,,,,0.38141,0.42162,0.47551
48.6,0.52,,,,,0.38143,0.42165,0.47554
48.8,0.52,,,,,0.38146,0.42168,0.47557
49,0.52,,,,,0.38148,0.42171,0.4756
49.2,0.52,,,,,0.38151,0.42174,0.47563
49.4,0.52,,,,,0.38153,0.42178,0.47566
49.6,0.52,,,,,0.38156,0.42181,0.47569
49.8,0.52,,,,,0.38158,0.42184,0.47571
50,0.52,,,,,0.38161,0.42187,0.47574
50.2,0.52,,,,,0.38164,0.4219,0.47577
50.4,0.52,,,,,0.38166,0.42194,0.4758
50.6,0.52,,,,,0.38169,0.42197,0.47583
50.8,0.52,,,,,0.38172,0.422,0.47586
51,0.52,,,,,0.38174,0.42204,0.47589
51.2,0.52,,,,,0.38177,0.42207,0.47592
51.4,0.52,,,,,0.3818,0.4221,0.47595
51.6,0.52,,,,,0.38183,0.42214,0.47598
51.8,0.52,,,,,0.38186,0.42217,0.47602
52,0.52,,,,,0.38188,0.42221,0.47605
52.2,0.52,,,,,0.38191,0.42224,0.47608
52.4,0.52,,,,,0.38194,0.42228,0.47611
52.6,0.52,,,,,0.38197,0.42231,0.47614
52.8,0.52,,,,,0.382,0.42235,0.47617
53,0.52,,,,,0.38203,0.42239,0.4762
53.2,0.52,,,,,0.38206,0.42242,0.47624
53.4,0.52,,,,,0.38209,0.42246,0.47627
53.6,0.52,,,,,0.38212,0.4225,0.4763
53.8,0.52,,,,,0.38216,0.42253,0.47633
54,0.52,,,,,0.38219,0.42257,0.47637
54.2,0.52,,,,,0.38222,0.42261,0.4764
54.4,0.52,,,,,0.38225,0.42265,0.47643
54.6,0.52,,,,,0.38229,0.42269,0.47646
54.8,0.52,,,,,0.38232,0.42273,0.4765
55,0.52,,,,,0.38235,0.42277,0.47653
55.2,0.52,,,,,0.38239,0.42281,0.47657
55.4,0.52,,,,,0.38242,0.42285,0.4766
55.6,0.52,,,,,0.38245,0.42289,0.47663
55.8,0.52,,,,,0.38249,0.42293,0.47667
